Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        French Guiana,0.418,0.419,0.419,0.423,0.423,0.425,0.426,0.428,0.428,0.585,0.606,0.631,0.655,0.681,0.706,0.901,0.922,1.029,1.104,1.053,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Grenada,0.059,0.061,0.066,0.089,0.095,0.1,0.111,0.119,0.131,0.143,0.149019,0.159214,0.15,0.147307,0.167162,0.178765,0.189925,0.195489,0.203104,0.1987,0.195541,0.193541,0.196541,0.194538,0.205513,0.210285,0.217495,0.2142,0.203587349,0.21722814
        Guadeloupe,0.877,0.9327,0.9817,0.9837,1.091,1.173,1.182,1.185,1.273,1.26,1.218,1.309,1.563,1.573,1.64,1.716,1.699,1.679,1.678,1.695,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Guatemala,2.803,2.926,3.118,3.44801,3.29729,3.39457,4.26113,5.17806,6.02758,5.82818,6.14208,7.64878,6.74742,8.291,8.294,9.022,8.448,8.547,7.9849,8.27566,9.31474,10.06908,10.69666,11.44176,12.03564,12.66915,14.1244,13.809242,13.417763,14.449429
        Guyana,0.219,0.226,0.355,0.539,0.65,0.745,0.804,0.844,0.877,0.91,0.914,0.822,0.858,0.6502,0.6693,0.7044,0.7104,0.7255,0.862248,0.909333,0.955406,0.989489,0.999553,1.040953,1.1014,1.1444,1.1584,1.2194,1.162546515,1.230907892
        Haiti,0.544,0.486,0.416,0.53,0.624,0.553,0.639,0.54,0.52816,0.57234,0.52678,0.5152,0.52678,0.53554,0.54906,0.44716,0.4657,0.68816,0.5604,0.65204,1.04616,1.00006,0.97632,0.98187,1.02451,1.00105,0.99515,1.025,0.914245106,0.990334393
        Honduras,2.358,2.45,2.114,2.266,2.985,3.052,3.306,3.097,3.54554,3.74674,3.9271,4.35346,4.65982,5.392,5.742,6.053,6.282,6.377,6.52178,6.99256,7.48174,7.72656,8.35978,9.37774,9.55712,9.599832,9.902203,11.108461,11.300727,11.96905101
        Jamaica,2.165,3.592,4.523,5.488,5.688,5.893,6.103,6.225,6.22172,6.26434,6.52446,6.72512,6.7951,6.98896,7.0381,5.603,3.995,4.053,3.97172,4.0149,3.92762,3.92436,3.89984,3.90172,4.13046,4.11098,4.169854,4.241992,4.073336786,4.345916157
        Martinique,0.742,0.801,0.849,0.917,0.958,1.013,1.025,1.045,1.048,1.203,1.249,1.301,1.341,1.404,1.46,1.508,1.548,1.589,1.526,1.459,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Montserrat,0.014,0.015,0.015,0.016,0.016,0.017,0.014,0.014,0.011,0.011,0.019,0.02,0.02,0.02,0.02,0.021,0.022,0.022,0.022,0.021,0.021,0.022,0.023,0.02256,0.0188,0.01786,0.01833,0.02256,0.01361,0.01448104
        Netherlands Antilles,0.802,0.855,0.92,0.955,1,0.998,1.056,1.054,1.084,1.059,1.055,1.14,1.167,1.203,1.175,1.21064,1.19748,1.28512,1.252571,1.275451,0.892351,0.88186,0.86944,0.89378,0.8669,0.88182,0.86708,0.87294,0.819014736,0.890575235
        Nicaragua,1.495,1.598,1.6,1.682,1.797,1.765,2.009,2.062,2.1291,2.3402,2.7043,2.6083,2.6993,3.00773,3.09937,2.92762,3.22675,3.5523,3.513,3.66886,3.8947,4.040576,4.35395,4.441065,4.47846,4.399389,4.540872,4.463606,4.417365124,4.624157975
        Panama,2.849,3.151,3.256,3.483,4.114,4.177,3.642,4.376,4.766,4.943,5.147,5.384,5.606,5.665,5.862,6.3276,6.24072,6.73214,7.15098,7.55894,8.35966,8.68386,8.34792,9.35252,9.9875,10.63472,10.64248,10.37908,11.0524,11.20340229
        Paraguay,27.181,31.167,36.071,41.757,44.915,50.4,50.422,51.449,52.969,44.876,47.744,51.26933333,51.417,50.657,53.249,53.191,54.912,54.41,53.52494,57.04994,59.63282,59.90482,54.86764,55.33294,63.30294,59.22988,58.75377,49.07259,46.50896,40.023132
        Peru,12.836,14.505,14.497,16.439,16.939,17.534,18.16,18.633,19.53705,20.42205,21.57805,22.48805,23.84705,25.34005,26.72405,29.14005,32.01605,31.66305,34.27861,37.50145,38.41784,41.64966,43.4642,46.23952,49.83334,52.463094,54.681916,56.561868,52.818457,58.135907
        Puerto Rico,15.445842,16.17872,16.834438,17.407132,17.878994,18.743119,19.212371,20.103944,21.813,22.302,23.175,23.937,24.135,24.9622843,23.837,22.305,20.921,20.7098,20.8958,20.0178,21.203,20.497,20.416,20.415061,20.961866,16.691,16.988629,17.267,17.149,18.24765736
        Saint Kitts and Nevis,0.079,0.065,0.07,0.076,0.077,0.085,0.087,0.092,0.094,0.094,0.103,0.119,0.122,0.125,0.127,0.157,0.167,0.173,0.179,0.189,0.2,0.206,0.20634,0.202674,0.211886,0.21274,0.21374,0.21374,0.203241562,0.215865022
        Saint Lucia,0.143004,0.160206,0.169838,0.18478,0.186151,0.200358,0.221728,0.240823,0.26014,0.269347,0.26857,0.281044,0.290028,0.304197,0.310914,0.324956,0.331195,0.341211,0.358,0.362,0.361796,0.3601,0.35686514,0.35957292,0.36924314,0.37758,0.37843632,0.3500737,0.332542021,0.353622342
        Saint Vincent/Grenadines,0.055,0.06,0.061,0.069,0.073,0.076,0.081,0.081,0.09,0.094,0.097,0.103,0.114,0.125838,0.126961,0.13376264,0.131965,0.132,0.136,0.132,0.132,0.135,0.13400086,0.1388075,0.14485714,0.14199702,0.1425094,0.147,0.156935628,0.164227508
        Suriname,1.726,1.75,1.77,1.594,1.406,1.414,1.421,1.44,1.397,1.416,1.431,1.444,1.457,1.518,1.563,1.563,1.564,1.566,1.68136,1.88639,1.89524,1.91721,1.92423,1.942551,1.908281,1.876011,1.891111,1.958828,1.932095038,2.020408283
        The Bahamas,1.095,1.144,1.201,1.179,1.213,1.282,1.393,1.464,1.565,1.626,1.716,1.81,1.794703,1.8944,1.927583,2.045213,2.05,1.945,1.8895,1.9316,1.7869,1.774,1.809,1.88,1.85,1.870067,2.145067,2.103493,1.997366495,2.124974398
        Trinidad and Tobago,3.739,3.59,3.827,4.051,4.27,4.69,4.86,4.933,5.133,5.307,5.307,6.052,6.046,6.638,6.745,7.22,7.271,7.378,7.9799,8.24592,8.58432,8.93494,8.85792,8.9971,8.85516,8.76492,8.6728,8.63802,8.201788516,8.726318981
        Turks and Caicos Islands,0.026,0.03,0.034,0.037,0.036,0.048,0.05,0.06,0.071,0.075,0.096,0.103,0.11,0.124,0.149,0.171,0.186,0.196,0.196,0.195,0.197,0.196,0.21338,0.22466,0.235,0.226164,0.24258,0.245118,0.256,0.27254
        U.S. Virgin Islands,0.959,0.978,0.994,1.007,1.011,1.015,1.019,1.02,1.025,0.968,0.978,0.978,0.987,0.854698,0.863765,0.870836,0.843568,0.872,0.825,0.79469,0.778801,0.727248,0.700179,0.692274,0.68733,0.52324,0.61,0.619,0.6488,0.6925072
        Uruguay,8.79,7.895,7.592,6.226,6.562,7.075,9.963,7.048,7.494,9.162,9.513,8.53,5.787,7.562,5.467,9.2718,8.51832,8.79468,11.03734,10.37448,10.61276,11.46676,12.85684,13.6016,13.75942,14.25238,14.50816,16.046935,13.5435,15.82352
        Venezuela,65.744,67.579,69.498,71.598,73.745,76.245,78.947,78.777,83.24,87.733,86.646,89.267,96.216,101.385,107.904,111.84176,116.48164,116.703,110.7799,115.06854,118.5113,120.0401,100.35006,119.19668,104.67136,101.203265,97.263875,83.04078,94.23124208,94.74670541
